GAME_ID,TEAM_ID,FIRST_SHOT_TYPE,FIRST_SHOT_TIME_SEC,FIRST_MINUTE_BASKETS,FIRST_MINUTE_POINTS
0022500239,1610612737,3PT,41.0,1,3
0022500239,1610612756,3PT,,0,0
0022500240,1610612741,2PT,,1,3
0022500240,1610612762,2PT,21.0,2,5
0022500241,1610612739,3PT,14.0,1,2
0022500241,1610612749,3PT,,1,3
0022500242,1610612754,2PT,23.0,1,2
0022500242,1610612765,3PT,,1,3
0022500243,1610612746,2PT,,0,0
0022500243,1610612755,3PT,18.0,1,3
0022500244,1610612748,2PT,21.0,0,0
0022500244,1610612752,2PT,,0,0
0022500245,1610612761,2PT,14.0,2,5
0022500245,1610612766,3PT,,1,3
0022500246,1610612742,2PT,21.0,1,2
0022500246,1610612750,3PT,,1,3
0022500247,1610612740,2PT,,0,0
0022500247,1610612760,3PT,17.0,2,6
0022500248,1610612741,3PT,,0,0
0022500248,1610612743,3PT,16.0,1,3
0022500249,1610612744,2PT,,0,0
0022500249,1610612753,2PT,22.0,1,2
0022500250,1610612738,2PT,,1,2
0022500250,1610612751,3PT,19.0,1,3
0022500251,1610612737,3PT,16.0,0,0
0022500251,1610612765,2PT,,1,2
0022500252,1610612759,3PT,,0,0
0022500252,1610612763,3PT,17.0,2,6
0022500253,1610612747,2PT,,0,0
0022500253,1610612762,3PT,24.0,1,3
0022500254,1610612756,2PT,23.0,2,3
0022500254,1610612757,2PT,,1,2
0022500255,1610612739,3PT,18.0,0,0
0022500255,1610612745,3PT,,1,2
0022500256,1610612754,2PT,18.0,2,5
0022500256,1610612766,2PT,,0,0
0022500257,1610612744,3PT,,0,0
0022500257,1610612748,2PT,16.0,2,4
0022500258,1610612755,2PT,,1,2
0022500258,1610612761,2PT,26.0,1,2
0022500259,1610612750,2PT,,0,0
0022500259,1610612764,2PT,17.0,1,2
0022500260,1610612740,2PT,23.0,1,2
0022500260,1610612743,2PT,,0,0
0022500261,1610612758,3PT,,0,0
0022500261,1610612760,2PT,18.0,2,5
0022500262,1610612742,2PT,,0,0
0022500262,1610612752,2PT,18.0,1,3
0022500263,1610612741,2PT,25.0,1,2
0022500263,1610612757,2PT,,2,5
0022500264,1610612746,2PT,,1,2
